Controller,Sample,Stable,PitchSettling,YawSettling,PitchBandwidth,YawBandwidth,PitchSteadyStateErrorPercent,YawSteadyStateErrorPercent,YawFromPitchPeak,PitchFromYawPeak,PitchDisturbancePeak,YawDisturbancePeak
mixsyn,1,1,0.745986696423166,1.02819406524869,5.72522789493365,4.17430737615271,1.14425201520737,1.1464147490931,8.59459288202465e-05,0.000135476287197313,0.0126168110231107,0.0562094707119382
mixsyn,2,1,3.62013324229338,0.971084093853529,5.76102688983117,4.46834918984747,1.14423325036138,1.14623461361023,0.000130344018072011,0.000131506851991034,0.0137991030016924,0.0581445862640372
mixsyn,3,1,4.19095313373664,0.994754460858761,5.80404439760373,4.37460759359783,1.14398290074843,1.14383181766715,0.000198109493059625,0.00028826131487955,0.0127549286076191,0.0574683950990464
mixsyn,4,1,3.01745187609433,1.00559325542282,5.82231112647781,4.31263676301237,1.14385090483656,1.14256530171371,0.000189004032953415,0.000361399323092644,0.0127977981753997,0.057280034506356
mixsyn,5,1,1.82138877288688,0.984801583335647,4.25521640926325,4.381875469761,1.14431235097966,1.14699398288635,0.000172609558313408,0.000219710767291231,0.0119184158590319,0.0576254195346468
mixsyn,6,1,1.26023437488102,1.0268763607119,5.79808953166128,4.1891594326425,1.14412195187733,1.14516629015398,0.0001290936442129,0.000181864883134171,0.0129368116924002,0.0568542126818257
mixsyn,7,1,0.857876244941598,0.958432128291362,4.7188777838759,4.52363277497396,1.14402248580897,1.14421168789315,0.000171090810583539,0.000212781309954699,0.0127441710348484,0.0593283784519442
mixsyn,8,1,0.785058177179166,0.989119312901201,5.56947243655265,4.37426232365354,1.14414138927862,1.14535285204898,0.000113444443529659,5.77857005613264e-05,0.0131026152120247,0.0570211756765567
mixsyn,9,1,0.715891886419668,0.997194515471544,5.7475363774367,4.31586886659025,1.14397951553066,1.14379933309817,0.000127583961930481,0.000140019101287445,0.0126804957895974,0.0557303357127829
mixsyn,10,1,1.75151269006482,1.00197282607893,4.53298466281717,4.31163150815453,1.14401023551164,1.14409412801222,9.67226729487451e-05,0.000143841088687466,0.0135867741997128,0.0602042359688996
hinfsyn,1,1,0.745986696423166,1.02819406524869,5.72522789493365,4.17430737615271,1.14425201520737,1.1464147490931,8.59459288202465e-05,0.000135476287197313,0.0126168110231107,0.0562094707119382
hinfsyn,2,1,3.62013324229338,0.971084093853529,5.76102688983117,4.46834918984747,1.14423325036138,1.14623461361023,0.000130344018072011,0.000131506851991034,0.0137991030016924,0.0581445862640372
hinfsyn,3,1,4.19095313373664,0.994754460858761,5.80404439760373,4.37460759359783,1.14398290074843,1.14383181766715,0.000198109493059625,0.00028826131487955,0.0127549286076191,0.0574683950990464
hinfsyn,4,1,3.01745187609433,1.00559325542282,5.82231112647781,4.31263676301237,1.14385090483656,1.14256530171371,0.000189004032953415,0.000361399323092644,0.0127977981753997,0.057280034506356
hinfsyn,5,1,1.82138877288688,0.984801583335647,4.25521640926325,4.381875469761,1.14431235097966,1.14699398288635,0.000172609558313408,0.000219710767291231,0.0119184158590319,0.0576254195346468
hinfsyn,6,1,1.26023437488102,1.0268763607119,5.79808953166128,4.1891594326425,1.14412195187733,1.14516629015398,0.0001290936442129,0.000181864883134171,0.0129368116924002,0.0568542126818257
hinfsyn,7,1,0.857876244941598,0.958432128291362,4.7188777838759,4.52363277497396,1.14402248580897,1.14421168789315,0.000171090810583539,0.000212781309954699,0.0127441710348484,0.0593283784519442
hinfsyn,8,1,0.785058177179166,0.989119312901201,5.56947243655265,4.37426232365354,1.14414138927862,1.14535285204898,0.000113444443529659,5.77857005613264e-05,0.0131026152120247,0.0570211756765567
hinfsyn,9,1,0.715891886419668,0.997194515471544,5.7475363774367,4.31586886659025,1.14397951553066,1.14379933309817,0.000127583961930481,0.000140019101287445,0.0126804957895974,0.0557303357127829
hinfsyn,10,1,1.75151269006482,1.00197282607893,4.53298466281717,4.31163150815453,1.14401023551164,1.14409412801222,9.67226729487451e-05,0.000143841088687466,0.0135867741997128,0.0602042359688996
PID+comp,1,1,0.778319745006142,0.952352414380599,5.94079704657709,4.63661656925212,0,0,0.000653536669877485,0.00235449897871046,0.012491671556356,0.048692610002083
PID+comp,2,1,4.11638024374822,0.884336916728483,5.84790698528443,4.99714681947784,0,0,0.000647778709750323,0.00228184109582833,0.013642713361439,0.0503577981558719
PID+comp,3,1,4.17644934212379,0.910516879122524,5.91000033391938,4.87751373604243,0,0,0.000755054070667207,0.00267375930647239,0.0126480216699899,0.0497002991453481
PID+comp,4,1,3.00385562271334,0.92291848085515,5.94352903940122,4.80423481009077,0,0,0.000741842330163899,0.00269693936883397,0.0126857628385016,0.0495748370978043
PID+comp,5,1,1.82038599695573,0.898616631954754,4.28749889746822,4.88998642120908,0,0,0.000555105931278779,0.00219557422903911,0.011806218533798,0.049815135626128
PID+comp,6,1,1.26870095963444,0.950222178442313,5.94596683642488,4.65486435859593,1.9878466759147e-14,0,0.000686760577007148,0.00246976307008819,0.0128084422709598,0.0492576327158028
PID+comp,7,1,0.88247071545816,0.866495168555143,4.77572998719084,5.06521014934866,0,0,0.000567150307618238,0.00230224512953193,0.0126082676413928,0.051259785669912
PID+comp,8,1,0.829683019152026,0.90422014058322,6.00320127559386,4.88111712045209,0,0,0.000637815582725037,0.00237906887612192,0.0129688571798093,0.0493924722031188
PID+comp,9,1,1.19074905958808,0.91476671070956,5.88852673993291,4.80992722368546,0,0,0.000612911755319803,0.00233092489401902,0.0125462270469128,0.0483559683598669
PID+comp,10,1,1.74908096757262,0.917191841660231,4.56989893287931,4.80611068185498,0,1.32523111727647e-14,0.000635471842403176,0.00252454914275508,0.013443853518924,0.0520185690434784
mu-synthesis,1,1,2.47792406074706,4.19202500678166,3.92635002783767,4.40560283517144,1.25663387341666,0.181197143246464,0.000541985567159275,0.000292431865803335,0.0127753534812957,0.0452797983104593
mu-synthesis,2,1,1.03303380296876,4.16656260989283,4.26709564321978,4.8013791084861,1.25660806385787,0.181168401398314,0.00052145211887804,0.000214197841734476,0.0139994404695732,0.0470862714268962
mu-synthesis,3,1,1.0180989174644,4.20193207704868,4.38083270565237,4.68497647127083,1.2562637440115,0.1807850270991,0.000538210363439097,0.000478079475708105,0.0128928836722425,0.045624378546649
mu-synthesis,4,1,1.4291157464111,4.20309719013119,4.29698369440223,4.58929233552508,1.25608221484539,0.180582956291662,0.000543278788509073,0.000530174744915544,0.0129397166431733,0.0458653192048677
mu-synthesis,5,1,2.4202252065975,4.1609753858476,3.61553767794942,4.7019819938284,1.25671686165554,0.181289564533024,0.000538296577612222,0.000214786019116965,0.0120583053982056,0.0454352038965003
mu-synthesis,6,1,1.96821474807777,4.19894863029079,4.14563068112062,4.4225800110339,1.25645498507826,0.180997944856468,0.000542655105484209,0.000367854412982275,0.0130988475864437,0.0460006435100504
mu-synthesis,7,1,2.47512729449061,4.15537408092417,3.73701036646096,4.85728266709291,1.25631818555742,0.180845635675348,0.00055602387927756,0.000358388682438233,0.0129111937581009,0.0468737673346823
mu-synthesis,8,1,2.49147735926011,4.17596102302479,3.86956487292036,4.68847502941879,1.25648171865186,0.181027711559977,0.000540792878956374,0.00027725920295426,0.0132712767245541,0.0460488307497207
mu-synthesis,9,1,1.96334614061616,4.17452781380766,4.00422129479535,4.59773818562973,1.25625908834331,0.180779844184302,0.000531759294846404,0.000355490386178469,0.0128495555281915,0.0456987144370276
mu-synthesis,10,1,2.45833721341879,4.18552134653414,3.72645435292163,4.5961932096076,1.25630133757415,0.180826878869748,0.000551090569798401,0.000346818500608147,0.0137640162514212,0.0478618101809981
