Controller,Order,MaxRealPole,WS_S,WU_KS,WT_T,NominalGamma,RS_Lower,RS_Upper,WorstGainLower,WorstGainUpper,MuRS_Lower,MuRS_Upper,MuRP_Lower,MuRP_Upper,PitchRiseTime,PitchSettlingTime,PitchOvershoot,YawRiseTime,YawSettlingTime,YawOvershoot,NS,NP,RS,RP,PitchSettlingPass,PitchOvershootPass,YawSettlingPass,YawOvershootPass,WS_PeakFrequency,WU_PeakFrequency,WT_PeakFrequency,GammaPeakFrequency
mixsyn,14,-0.128914517226945,1.04257759827953,0.747171152252799,0.205572567607785,0,54.5100187812348,10.6603434400171,0,1.04953658392731,1.98543460687143,2.03775057039509,2.08695035633811,4.26428004688841,0.44922320665981,0.486701282838771,1.5419962367824,1.55825919587894,0.426842640354268,0.952193243811125,0,0.524702643743782,1.18062050434445,0,1,0,1,0,1,1,1,1
hinfsyn,14,-0.128914517226945,1.04257759827953,0.747171152252799,0.205572567607785,0,54.5100187812348,10.6603434400171,0,1.04953658392731,1.98543460687143,2.03775057039509,2.08695035633811,4.26428004688841,0.44922320665981,0.486701282838771,1.5419962367824,1.55825919587894,0.426842640354268,0.952193243811125,0,0.524702643743782,1.18062050434445,0,1,0,1,0,1,1,1,1
PID + compensator,6,-0.0853338605465006,1.08788427219428,0.803095729882998,0.230641327446794,0.0853338605441215,184.959096238134,10.216359349551,184.959096238157,1.09077226514077,1.95071992007469,1.98842690292651,Inf,Inf,0.399718550102834,0.468417231977106,1.59045886921808,1.6047986752711,0.393843748529607,0.842798632892963,0.285446402929668,0.449863257263306,0.904615676468144,0,1,0,1,0,1,1,1,1
