Controller,NominalGamma,RS_Lower,RS_Upper,RP_Lower,RP_Upper,MuRS_Lower,MuRS_Upper,MuRP_Lower,MuRP_Upper,NS,NP,RS,RP
mixsyn,1.04953658392731,2.00425000408229,2.03042790468942,2.1243084167429,14.9052413566413,0.477719438350624,0.480210969990802,1.55605982131852,1.56752991054033,1,0,1,0
hinfsyn,1.04953658392731,2.00425000408229,2.03042790468942,2.1243084167429,14.9052413566413,0.477719438350624,0.480210969990802,1.55605982131852,1.56752991054033,1,0,1,0
mu-synthesis,1.18050737554096,3.16082121461051,3.21639786330434,1.20584769142764,10.4990815798135,0.304601429905902,0.307145667658024,1.18759187714332,1.19343921191116,1,0,1,0
