Controller,NominalGamma,RS_Lower,RS_Upper,RP_Lower,RP_Upper,MuRS_Lower,MuRS_Upper,MuRP_Lower,MuRP_Upper,NS,NP,RS,RP
mixsyn,0.980605541669266,2.01048594984963,2.03313677793472,1.99020131547179,2.00832395874777,0.474126816230651,0.477167305635597,1.48183778269329,1.4975071856256,1,1,1,0
hinfsyn,0.980605541669266,2.01048594984963,2.03313677793472,1.99020131547179,2.00832395874777,0.474126816230651,0.477167305635597,1.48183778269329,1.4975071856256,1,1,1,0
mu-synthesis,1.12589935027959,4.21392572411041,4.30299304838142,1.15309570189328,10.1763301476354,0.232194935753791,0.235708642695049,1.1314452023308,1.13626938873393,1,0,1,0
