Controller,Order,MaxRealPole,WS_S,WS_PeakFrequency,WU_KS,WU_PeakFrequency,WT_T,WT_PeakFrequency,NominalGamma,GammaPeakFrequency,RS_Lower,RS_Upper,WorstGainLower,WorstGainUpper,MuRS_Lower,MuRS_Upper,MuRP_Lower,MuRP_Upper,PitchRiseTime,PitchSettlingTime,PitchOvershoot,YawRiseTime,YawSettlingTime,YawOvershoot,NS,NP,RS,RP,PitchSettlingPass,PitchOvershootPass,YawSettlingPass,YawOvershootPass
mixsyn,14,-0.128914517234786,0.974012588017442,0,0.701362262207175,57.6332315714497,0.206986542144254,11.9888854511835,0.980605541669266,0,1.98871547446833,2.03731194427382,1.95254785974941,9.17222309091543,0.437929647249659,0.482453128567649,1.47206642339599,1.48824945658812,0.426580371855363,1.02147705025376,0,0.531221319050029,1.28236255540493,0,1,1,1,0,1,1,1,1
hinfsyn,14,-0.128914517234786,0.974012588017442,0,0.701362262207175,57.6332315714497,0.206986542144254,11.9888854511835,0.980605541669266,0,1.98871547446833,2.03731194427382,1.95254785974941,9.17222309091543,0.437929647249659,0.482453128567649,1.47206642339599,1.48824945658812,0.426580371855363,1.02147705025376,0,0.531221319050029,1.28236255540493,0,1,1,1,0,1,1,1,1
PID + compensator,6,-0.122589663479128,1.01236036408275,0.174808129432678,0.761525495591967,92.3166107353527,0.233390341088237,10.4890440349513,1.01993547295421,Inf,1.9386838986529,1.98372344144112,Inf,Inf,0.390177857774806,0.46254408242133,1.52606224747966,1.54042702571233,0.388125877590388,0.833891849199513,0.340390356660114,0.455263720062866,0.931304492659334,0,1,0,1,0,1,1,1,1
H2,16,-0.128914517225752,1.28506773460757,0,0.165439592302711,16.2797174344862,0.18287276266198,8.0866636351979,1.29103550146476,0,1.9286806686276,2.05315736138718,2.51988867116998,6.69259778890174,0.3127510105473,0.512130312825089,1.75645985321172,1.78049551605671,0.439899084767646,1.45599869470904,0,0.538201793604877,1.5035096179155,0,1,0,1,0,1,1,1,1
