Controller,Sample,Stable,PitchSettling,YawSettling,PitchSettledWithinHorizon,YawSettledWithinHorizon,PitchBandwidth,YawBandwidth,PitchSteadyStateErrorPercent,YawSteadyStateErrorPercent,YawFromPitchPeak,PitchFromYawPeak,PitchDisturbancePeak,YawDisturbancePeak
mixsyn,1,1,0.815669965226771,0.974385138744202,1,1,5.14961297818264,4.06747533148587,1.67274808535255,1.35898022560924,0.0016575707701439,0.000108155198837565,0.0124137619849577,0.0571259948476039
mixsyn,2,1,24.0032402029085,1.02698454422369,1,1,5.61849530218486,4.65278886356486,1.41358973191187,1.28453892124031,0.000820032299951326,0.000239206413495496,0.0135824341117029,0.0589854797176281
mixsyn,3,1,0.806464373584847,0.928918118949986,1,1,6.0341055877606,4.23208845846893,1.20007681189073,1.66696128810834,0.00247240662482022,0.000216036610144536,0.0125840050020619,0.0570832468746173
mixsyn,4,1,0.768097310331286,0.944197854957511,1,1,6.01883214560175,4.33307556810781,1.31168048901852,1.5753615796888,0.00140484533263228,0.000274985751354772,0.0125947413265793,0.0568388265546771
mixsyn,5,1,2.31647447857003,0.918637717879281,1,1,3.84333432010276,4.14162649578361,1.1082449273745,1.74405625028011,0.00334752693106323,0.000235608159774296,0.0117721699569669,0.0571033235939032
mixsyn,6,1,1.23305658074711,1.01048460203273,1,1,5.83217637649184,4.21419274601466,1.58435604420842,1.381471623208,0.0010697883910073,0.000176014614358227,0.0127813721363215,0.057861352100612
mixsyn,7,1,0.837511308440131,0.924720969359636,1,1,4.91340293609675,4.59411670222427,0.866125030842573,1.68650608807851,0.00432584122165936,0.000268901805964426,0.0125286673077126,0.0577826681884061
mixsyn,8,1,0.630398128309787,0.965366349212938,1,1,5.83371156462219,4.39853119565238,1.55733174070089,1.3234978054836,0.00123624619086163,0.000141821737203031,0.0128689739519139,0.0576229721099663
mixsyn,9,1,0.706514819992719,1.01400229659568,1,1,5.75734898773111,4.27324939500675,2.02812726267704,1.21040995989388,0.00428176530032692,0.000111296731085926,0.0126321911540198,0.05863372399159
mixsyn,10,1,0.627911065038748,1.05529355475349,1,1,5.77382573022784,4.64368868973303,0.805840040738821,1.58958113817572,0.00412649410982799,0.000298320417178398,0.0133361882387481,0.0585582064498388
hinfsyn,1,1,0.815669965226771,0.974385138744202,1,1,5.14961297818264,4.06747533148587,1.67274808535255,1.35898022560924,0.0016575707701439,0.000108155198837565,0.0124137619849577,0.0571259948476039
hinfsyn,2,1,24.0032402029085,1.02698454422369,1,1,5.61849530218486,4.65278886356486,1.41358973191187,1.28453892124031,0.000820032299951326,0.000239206413495496,0.0135824341117029,0.0589854797176281
hinfsyn,3,1,0.806464373584847,0.928918118949986,1,1,6.0341055877606,4.23208845846893,1.20007681189073,1.66696128810834,0.00247240662482022,0.000216036610144536,0.0125840050020619,0.0570832468746173
hinfsyn,4,1,0.768097310331286,0.944197854957511,1,1,6.01883214560175,4.33307556810781,1.31168048901852,1.5753615796888,0.00140484533263228,0.000274985751354772,0.0125947413265793,0.0568388265546771
hinfsyn,5,1,2.31647447857003,0.918637717879281,1,1,3.84333432010276,4.14162649578361,1.1082449273745,1.74405625028011,0.00334752693106323,0.000235608159774296,0.0117721699569669,0.0571033235939032
hinfsyn,6,1,1.23305658074711,1.01048460203273,1,1,5.83217637649184,4.21419274601466,1.58435604420842,1.381471623208,0.0010697883910073,0.000176014614358227,0.0127813721363215,0.057861352100612
hinfsyn,7,1,0.837511308440131,0.924720969359636,1,1,4.91340293609675,4.59411670222427,0.866125030842573,1.68650608807851,0.00432584122165936,0.000268901805964426,0.0125286673077126,0.0577826681884061
hinfsyn,8,1,0.630398128309787,0.965366349212938,1,1,5.83371156462219,4.39853119565238,1.55733174070089,1.3234978054836,0.00123624619086163,0.000141821737203031,0.0128689739519139,0.0576229721099663
hinfsyn,9,1,0.706514819992719,1.01400229659568,1,1,5.75734898773111,4.27324939500675,2.02812726267704,1.21040995989388,0.00428176530032692,0.000111296731085926,0.0126321911540198,0.05863372399159
hinfsyn,10,1,0.627911065038748,1.05529355475349,1,1,5.77382573022784,4.64368868973303,0.805840040738821,1.58958113817572,0.00412649410982799,0.000298320417178398,0.0133361882387481,0.0585582064498388
PID+comp,1,1,0.889034464933391,0.911281082157207,1,1,6.15973823055601,4.48842637410834,0,0,0.0011129144378219,0.00232411237159013,0.0123117590225622,0.0475746212745566
PID+comp,2,1,25.7099864126199,0.968332228635045,1,1,5.67069945999831,5.3513729321297,0,2.65046223455293e-14,0.000671805621307357,0.00223565955977294,0.0134601517537431,0.0489954588478153
PID+comp,3,1,0.902135346394006,0.870484728827967,1,1,6.36516342455046,4.66465166507264,0,0,0.00236292701209506,0.00265783029275839,0.0124997059818369,0.0472102006947275
PID+comp,4,1,0.834534203416418,0.888355051221053,1,1,6.35975785330568,4.77680572715185,0,0,0.00146453288827707,0.00269852755073502,0.0125074794411571,0.0470786848961211
PID+comp,5,1,2.29193967949564,0.859967926371051,1,1,3.88453168831422,4.55672183253311,0,0,0.00311023651250293,0.00217603499088837,0.0116817158653364,0.0471711121661698
PID+comp,6,1,1.25727481755186,0.9547221107257,1,1,5.99978981664518,4.65116589307906,0,0,0.000656356249882186,0.00244683422595918,0.0126797816866463,0.0481203640121026
PID+comp,7,1,0.839087908262027,0.865113425696918,1,1,5.02284678026865,5.08383820528408,0,0,0.00388945292678073,0.00229406829772547,0.0124203484424075,0.0476068814895025
PID+comp,8,1,1.17851784585294,0.897984584445551,1,1,6.02920957971198,4.88295653798946,1.9878466759147e-14,0,0.000776681355612905,0.00235660288212094,0.0127635154810967,0.0479376304016914
PID+comp,9,1,1.18600071896543,0.951604735733548,1,1,5.90571400324628,4.75016929906103,1.9878466759147e-14,0,0.0033553025882714,0.00230348315430452,0.0125219911171691,0.0490581001137401
PID+comp,10,1,0.604408186102119,1.02140926918032,1,1,6.09517207867117,5.12359688715754,1.9878466759147e-14,0,0.00369130029129942,0.00250666381275385,0.0132291518816331,0.0482116007805205
mu-synthesis,1,1,2.48062791951327,3.99802127047312,1,1,3.46630021804755,4.20206917101204,1.8100845191022,0.225424839294928,0.00182332493886781,0.000341811742932943,0.0121672970909131,0.0454967305087062
mu-synthesis,2,1,1.07816023608216,4.38432307599948,1,1,4.48684056622965,4.82384833815469,1.55670600334444,0.214987805324269,0.00101061601528688,0.000324202560173329,0.0133314747124292,0.0467347281719219
mu-synthesis,3,1,2.54883561873208,3.53070360491052,1,1,3.47159217945418,4.34750830639467,1.43489479931155,0.28776095447966,0.0014771867522588,0.000556779559756105,0.0123260507648204,0.0455155965812067
mu-synthesis,4,1,2.53611506318878,3.60209352921705,1,1,3.50910099349957,4.46499270082037,1.52021081615511,0.269586282688867,0.000687735216672083,0.000624337351639965,0.012335147066279,0.0452242814232663
